Штрихкод;Номенклатура;;Габарит;Ед изм;Склад;Документ поступления;Номер;Дата;Количество;Стоимость;Поставщик
2000000014869;00520408155 Лист Б - ПН - О - 8 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001129 от 29.03.2018 0:00:00;0000-001129;29.03.2018 0:00;3 228.05;119000.06;МЕЧЕЛ-СЕРВИС ООО
2000000014876;00520408155 Лист Б - ПН - О - 8 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001222 от 05.04.2018 15:55:37;0000-001222;05.04.2018 15:55;183.953;6781.55;МЕЧЕЛ-СЕРВИС ООО
2000000009506;00520408259 Лист Б - ПН - О - 12 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001129 от 29.03.2018 0:00:00;0000-001129;29.03.2018 0:00;2 478.00;91350.01;МЕЧЕЛ-СЕРВИС ООО
2000000010717;00520408334 Лист ПН - О - 14 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001222 от 05.04.2018 15:55:37;0000-001222;05.04.2018 15:55;1 930.00;71148.31;МЕЧЕЛ-СЕРВИС ООО
2000000009513;00520408391 Лист ПН - О - 16 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001129 от 29.03.2018 0:00:00;0000-001129;29.03.2018 0:00;1 112.00;40993.22;МЕЧЕЛ-СЕРВИС ООО
2000000009520;00520462449 Лист ПН - О - 18 х 1500 х 6000 ГОСТ 19903-2015/Ст3сп 2 - св ГОСТ 14637-89;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001129 от 29.03.2018 0:00:00;0000-001129;29.03.2018 0:00;1 270.00;46817.80;МЕЧЕЛ-СЕРВИС ООО
2000000010670;00524158334 Лист ПУ - О - 14 х 1500 х 6000 ГОСТ 19903-2015/E40S ГОСТ 5521-93;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-000622 от 28.02.2018 10:20:28;0000-000622;28.02.2018 10:20;1 025.00;59554.24;Нева-МеталлТрэйд ООО
2000000009483;00524158391 Лист ПУ - О - 16 х 1500 х 6000 ГОСТ 19903-2015/E40S ГОСТ 5521-93;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-000622 от 28.02.2018 10:20:28;0000-000622;28.02.2018 10:20;3 501.00;203414.03;Нева-МеталлТрэйд ООО
2000000009483;00524158391 Лист ПУ - О - 16 х 1500 х 6000 ГОСТ 19903-2015/E40S ГОСТ 5521-93;;;кг;Склад цех 14;Поступление товаров и услуг 0000-000622 от 28.02.2018 10:20:28;0000-000622;28.02.2018 10:20;917.56;53311.79;Нева-МеталлТрэйд ООО
2000000014821;00524158767 Лист ПУ - О - 30 х 1500 х 6000 ГОСТ 19903-2015/E40S ГОСТ 5521-93;;;кг;Склад цех 14;Поступление товаров и услуг 0000-000622 от 28.02.2018 10:20:28;0000-000622;28.02.2018 10:20;375.41;21811.95;Нева-МеталлТрэйд ООО
2000000014821;00524158767 Лист ПУ - О - 30 х 1500 х 6000 ГОСТ 19903-2015/E40S ГОСТ 5521-93;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-000622 от 28.02.2018 10:20:28;0000-000622;28.02.2018 10:20;2 190.00;127242.71;Нева-МеталлТрэйд ООО
2000000014708;00594936449 Лист ПН - О - 18 х 1500 х 6000 ГОСТ 19903-2015/20 ГОСТ 1577-93;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000230 от 05.12.2017 16:27:07;230;05.12.2017 16:27;1 285.00;53795.63;ЛенСпецСталь ООО
2000000013381;00490240310 Круг В3 - 32 х 750 ХН70ВМЮТ-ВД (ЭИ-765 ВД) ТУ 14-131-1196-2016;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 241 от 26.12.2017 23:59:59;241;26.12.2017 23:59;32;113760.00;Электросталь АО Металлургический завод
